source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/newsmax/newsmax-host-falsely-claims-michelle-obama-never-had-job
https://www.mediamatters.org/	https://www.mediamatters.org/about
https://www.mediamatters.org/	https://www.mediamatters.org/roger-stone/longtime-trump-adviser-roger-stone-georgia-gov-brian-kemp-going-prison-and-lowest-form
https://www.mediamatters.org/	https://www.mediamatters.org/russ-vought/undercover-interview-project-2025-architect-gets-candid-initiatives-radical-goals-and
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/	https://www.mediamatters.org/kevin-roberts/everything-you-need-know-about-kevin-roberts-delayed-book-dawns-early-light
https://www.mediamatters.org/	https://www.mediamatters.org/project-2025/project-2025-would-roll-back-protections-overtime-pay-longtime-right-wing-media
https://www.mediamatters.org/	https://www.mediamatters.org/newsmax/newsmax-rick-santorum-claims-barack-obama-reinstilled-racism-country-his-behavior
https://www.mediamatters.org/	https://www.mediamatters.org/kamala-harris/conservative-media-defend-trumps-corporate-tax-cuts-and-make-false-claims-about
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.mediamatters.org/libs-tiktok/bomb-threats-follow-libs-tiktoks-campaign-against-planet-fitness
https://www.mediamatters.org/	https://www.mediamatters.org/#article
https://www.mediamatters.org/	https://www.mediamatters.org/greg-kelly/newsmax-hosts-decry-discussions-joy-and-happiness-dnc-it-fixture-communist-countries
https://www.mediamatters.org/	https://www.mediamatters.org/steve-bannon/dire-potential-consequences-rights-rfk-courtship
https://www.mediamatters.org/	https://www.mediamatters.org/project-2025/heritage-foundation-president-celebrates-supreme-court-immunity-decision-we-are
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/project-2025/trump-official-karoline-leavitt-criticized-media-talking-about-project-2025-which-has
https://1.1.1.1/	https://1.1.1.1/site-73ee4f2d3d9439833c40.css
